(ml) nxshen@hsng-server:~/machine-learning/3-hw$ python pytorch_CelebA_DCGAN.py
Training start!
[1/200] - ptime: 235.49, loss_d: 0.082, loss_g: 45.477
[151/200] - ptime: 112.49, loss_d: 0.028, loss_g: 5.420
[152/200] - ptime: 112.40, loss_d: 0.028, loss_g: 5.490
[153/200] - ptime: 112.43, loss_d: 0.032, loss_g: 5.362
[154/200] - ptime: 112.58, loss_d: 0.036, loss_g: 5.367
[155/200] - ptime: 112.48, loss_d: 0.027, loss_g: 5.573
[156/200] - ptime: 112.43, loss_d: 0.032, loss_g: 5.269
[157/200] - ptime: 112.42, loss_d: 0.023, loss_g: 5.659
[158/200] - ptime: 112.50, loss_d: 0.027, loss_g: 5.812
[159/200] - ptime: 112.53, loss_d: 0.027, loss_g: 5.629
[160/200] - ptime: 112.37, loss_d: 0.025, loss_g: 5.529
[161/200] - ptime: 112.39, loss_d: 0.032, loss_g: 5.531
[162/200] - ptime: 112.44, loss_d: 0.033, loss_g: 5.398
[163/200] - ptime: 112.53, loss_d: 0.053, loss_g: 4.846
[164/200] - ptime: 112.42, loss_d: 0.055, loss_g: 4.982
[165/200] - ptime: 112.42, loss_d: 0.047, loss_g: 5.021
[166/200] - ptime: 112.51, loss_d: 0.045, loss_g: 5.044
[167/200] - ptime: 112.55, loss_d: 0.046, loss_g: 5.100
[168/200] - ptime: 112.49, loss_d: 0.048, loss_g: 5.133
[169/200] - ptime: 112.51, loss_d: 0.051, loss_g: 4.921
[170/200] - ptime: 112.59, loss_d: 0.049, loss_g: 4.876
[171/200] - ptime: 112.62, loss_d: 0.054, loss_g: 4.743
[172/200] - ptime: 112.48, loss_d: 0.046, loss_g: 4.882
[173/200] - ptime: 112.34, loss_d: 0.042, loss_g: 5.147
[174/200] - ptime: 112.43, loss_d: 0.034, loss_g: 5.289
[175/200] - ptime: 112.42, loss_d: 0.037, loss_g: 5.326
[176/200] - ptime: 112.42, loss_d: 0.031, loss_g: 5.410
[177/200] - ptime: 112.46, loss_d: 0.033, loss_g: 5.612
[178/200] - ptime: 112.50, loss_d: 0.046, loss_g: 5.254
[179/200] - ptime: 112.39, loss_d: 0.048, loss_g: 4.957
[180/200] - ptime: 112.47, loss_d: 0.066, loss_g: 4.703
[181/200] - ptime: 112.32, loss_d: 0.054, loss_g: 4.747
[182/200] - ptime: 112.46, loss_d: 0.051, loss_g: 4.861
[183/200] - ptime: 112.44, loss_d: 0.036, loss_g: 5.180
[184/200] - ptime: 112.39, loss_d: 0.026, loss_g: 5.599
[185/200] - ptime: 112.36, loss_d: 0.032, loss_g: 5.645
[186/200] - ptime: 112.33, loss_d: 0.025, loss_g: 5.791
[187/200] - ptime: 112.42, loss_d: 0.034, loss_g: 5.422
[188/200] - ptime: 112.41, loss_d: 0.051, loss_g: 5.166
[189/200] - ptime: 112.50, loss_d: 0.049, loss_g: 5.061
[190/200] - ptime: 112.54, loss_d: 0.044, loss_g: 4.885
[191/200] - ptime: 112.35, loss_d: 0.040, loss_g: 5.182
[192/200] - ptime: 112.28, loss_d: 0.025, loss_g: 5.714
[193/200] - ptime: 112.38, loss_d: 0.021, loss_g: 6.004
[194/200] - ptime: 112.44, loss_d: 0.023, loss_g: 5.903
[195/200] - ptime: 112.39, loss_d: 0.030, loss_g: 5.860
[196/200] - ptime: 112.39, loss_d: 0.032, loss_g: 5.708
[197/200] - ptime: 112.41, loss_d: 0.039, loss_g: 5.309
[198/200] - ptime: 112.38, loss_d: 0.035, loss_g: 5.301
[199/200] - ptime: 112.43, loss_d: 0.036, loss_g: 5.361
[200/200] - ptime: 112.42, loss_d: 0.040, loss_g: 5.326
Avg per epoch ptime: 197.85, total 200 epochs ptime: 39938.61
Training finish!... save training results
